date1	date2	date3_jd	date3_year
11/4/15	11.4.2015	273	2015
11/9/15	11.9.2015	274	2015
11/14/15	11.14.2015	275	2015
11/19/15	11.19.2015	276	2015
11/24/15	11.24.2015	277	2015
11/29/15	11.29.2015	278	2015
12/4/15	12.4.2015	279	2015
12/9/15	12.9.2015	280	2015
12/11/15	12.11.2015	281	2015
12/13/15	12.13.2015	282	2015
12/15/15	12.15.2015	283	2015
12/17/15	12.17.2015	288	2015
12/19/15	12.19.2015	293	2015
12/21/15	12.21.2015	298	2015
12/23/15	12.23.2015	303	2015
12/25/15	12.25.2015	305	2015
12/27/15	12.27.2015	307	2015
12/29/15	12.29.2015	309	2015
1/3/16	1.3.2016	311	2015
1/8/16	1.8.2016	313	2015
1/10/16	1.10.2016	315	2015
1/12/16	1.12.2016	317	2015
1/14/16	1.14.2016	319	2015
1/16/16	1.16.2016	321	2015
1/18/16	1.18.2016	323	2015
1/20/16	1.20.2016	325	2015
1/22/16	1.22.2016	327	2015
1/24/16	1.24.2016	329	2015
1/26/16	1.26.2016	331	2015
1/28/16	1.28.2016	333	2015
1/30/16	1.30.2016	338	2015
2/1/16	2.1.2016	343	2015
2/3/16	2.3.2016	345	2015
2/5/16	2.5.2016	347	2015
2/7/16	2.7.2016	349	2015
2/9/16	2.9.2016	351	2015
2/11/16	2.11.2016	353	2015
2/13/16	2.13.2016	355	2015
2/15/16	2.15.2016	357	2015
2/17/16	2.17.2016	359	2015
2/19/16	2.19.2016	361	2015
2/21/16	2.21.2016	363	2015
2/23/16	2.23.2016	1	2016
2/25/16	2.25.2016	2	2016
2/27/16	2.27.2016	4	2016
2/29/16	2.29.2016	6	2016
