profile	date	depth	temperature	salinity	density	chlorophyll
1	9/29/2015	2.8552048	28.42	40.274	26.22882845	0.0756
1	9/29/2015	4.078864	28.424	40.274	26.22748426	0.0777
1	9/29/2015	6.118296	28.426	40.274	26.22681212	0.0819
1	9/29/2015	8.157728	28.426	40.274	26.22681212	0.0756
1	9/29/2015	10.19716	28.425	40.275	26.22790214	0.0798
1	9/29/2015	12.236592	28.424	40.275	26.2282382	0.0714
1	9/29/2015	14.276024	28.422	40.275	26.22891032	0.0756
1	9/29/2015	16.315456	28.424	40.274	26.22748426	0.0714
1	9/29/2015	18.354888	28.417	40.273	26.22908257	0.0714
1	9/29/2015	20.39432	28.399	40.272	26.23437563	0.0798
1	9/29/2015	22.433752	28.371	40.27	26.24226943	0.0798
1	9/29/2015	24.473184	28.329	40.267	26.25409927	0.0819
1	9/29/2015	26.512616	28.301	40.265	26.26197859	0.0966
1	9/29/2015	28.552048	28.26	40.261	26.27269771	0.0924
1	9/29/2015	30.59148	28.224	40.257	26.28173141	0.0903
1	9/29/2015	32.630912	28.166	40.252	26.29735472	0.1029
1	9/29/2015	34.670344	28.093	40.249	26.31946701	0.1113
1	9/29/2015	36.709776	28.052	40.248	26.33238577	0.0966
1	9/29/2015	38.749208	28.004	40.245	26.34611452	0.1113
1	9/29/2015	40.78864	27.915	40.243	26.37421275	0.1134
1	9/29/2015	42.828072	27.85	40.239	26.39278111	0.1344
1	9/29/2015	44.867504	27.668	40.221	26.43947293	0.1218
1	9/29/2015	46.906936	27.486	40.21	26.49120066	0.1302
1	9/29/2015	48.946368	27.339	40.2	26.53195814	0.1302
1	9/29/2015	51.0877716	27.208	40.183	26.56203346	0.1491
1	9/29/2015	53.025232	27.013	40.163	26.61056748	0.1596
1	9/29/2015	54.9626924	26.656	40.133	26.7036731	0.1722
1	9/29/2015	57.0021244	26.044	40.119	26.88934915	0.2016
1	9/29/2015	59.143528	25.758	40.122	26.98237975	0.2394
1	9/29/2015	61.18296	25.451	40.126	27.08215218	0.2415
