OTU,St01_MN,St01_SG,St01_CR,St01_SD,St02_MN,St02_SG,St02_CR,St02_SD,St03_MN,St03_SG,St03_CR,St03_SD,St04_MN,St04_SG,St04_CR,St04_SD,St05_MN,St05_SG,St05_CR,St05_SD,St06_MN,St06_SG,St06_CR,St06_SD,St07_MN,St07_SG,St07_CR,St07_SD,St08_MN,St08_SG,St08_CR,St08_SD,St09_MN,St09_SG,St09_CR,St09_SD,St10_SD,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,5811,8136,1179,0,119,1256,0,0,23163,4401,480,21,3744,1287,10634,30,12293,1907,55,22,23930,372,124,198,6351,1554,246,122,15997,468,184,0,25468,139,0,208,4,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,marinus
OTU_2,43796,6968,1629,167,26219,21687,196,109,76340,23384,1704,124,13745,27328,3650,122,13142,290,24,44,3349,31,0,57,21014,218,186,71,4023,1578,81,0,2397,0,0,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA
OTU_3,11141,3621,3302,0,4301,7826,106,0,21030,9477,1833,0,4942,4717,7510,0,7772,4193,2255,20,3438,3573,3372,39,4229,3811,2545,22,6055,6602,567,0,4666,2954,3272,36,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA
OTU_4,14375,4650,3055,25,5272,10399,0,30,27319,11499,928,41,3763,4871,6296,27,4486,2274,837,0,1594,1544,925,30,4114,3418,3389,27,2707,6182,105,0,2313,969,596,0,0,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA
OTU_5,6694,3393,2368,0,4305,7479,18,0,17002,7264,870,0,2259,3723,3653,0,3010,3150,2179,0,2106,5544,4458,0,2205,4397,5093,0,2037,9923,255,0,3118,4180,3796,0,0,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,NA
OTU_6,0,0,0,7419,0,0,29,5933,0,0,35,7965,0,0,0,6400,0,0,0,7101,0,0,0,12621,0,0,0,7654,0,0,47,10777,0,0,0,6896,120,Bacteria,Marinimicrobia,NA,NA,NA,NA,NA
OTU_7,5926,2596,2235,0,2772,4199,70,0,14790,7094,1227,0,3195,2843,5987,0,3512,2905,1460,0,6568,2716,1892,35,3006,3348,1610,0,2348,2290,317,0,3363,1342,1207,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ia,NA
OTU_8,2714,4149,512,38,91,651,0,0,10016,2055,208,0,1729,512,4201,0,3752,1391,73,0,3887,288,95,0,1776,1093,178,0,5500,297,0,0,5763,106,74,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,marinus
OTU_9,421,1030,3178,0,316,487,2414,0,793,593,9339,0,244,762,450,0,0,4846,9610,0,0,4220,8566,0,0,5409,7963,0,0,6781,10101,0,8,8055,19913,0,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,Alteromonas,NA
OTU_10,0,80,143,5055,0,0,471,4432,0,0,187,6408,0,0,0,4663,0,129,212,5143,0,161,251,5281,0,122,0,4642,0,0,290,4583,0,89,152,3794,70,Bacteria,Proteobacteria,DeltaProteobacteria,SAR324_clade(Marine_group_B),NA,NA,NA
OTU_11,2727,4738,2942,0,165,781,0,0,5612,2807,411,0,1712,1441,7006,19,7938,2989,320,0,6137,202,104,18,6191,2580,2386,0,9380,5703,51,14,7615,309,103,52,0,Bacteria,Cyanobacteria,Acidimicrobiia,Actinomarinales,Clade_II,Prochlorococcus,NA
OTU_12,0,0,0,3773,0,0,1212,3683,0,0,0,5389,0,0,0,3384,0,0,0,3132,0,0,0,4112,0,0,0,3229,0,0,254,2837,0,0,0,3335,50,Bacteria,Proteobacteria,GammaProteobacteria,UBA10353_marine_group,NA,NA,NA
OTU_13,0,0,0,3770,0,0,66,3532,0,0,29,4300,0,0,0,2844,6,0,0,2974,0,0,0,5344,0,0,0,3670,0,0,40,4682,0,0,0,2735,54,Bacteria,Marinimicrobia,NA,NA,NA,NA,NA
OTU_14,58,41,35,220,3808,6607,141,4898,8078,24486,2147,5179,3995,5041,803,1826,0,0,56,28,20,149,21,40,0,0,15,102,0,0,34,354,0,15,42,146,3,Bacteria,Proteobacteria,GammaProteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
OTU_15,4718,1001,893,0,1434,3580,0,0,6015,2674,442,0,1536,1627,1701,0,4241,989,444,0,1134,812,729,0,2509,807,579,0,1580,2374,128,0,1234,533,572,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ia,NA
OTU_16,0,0,0,2399,0,0,573,3936,0,0,0,3346,0,0,0,2121,0,0,0,2840,0,0,0,2897,0,0,0,2697,0,0,94,2507,0,0,0,2160,43,Bacteria,Chloroflexi,Thermoplasmata,Marine_Group_II,NA,NA,NA
OTU_17,2211,820,727,0,885,1275,0,0,3676,1828,608,0,891,791,1285,0,3200,1423,731,0,2517,861,796,11,1667,1389,726,0,1088,1422,129,0,940,595,807,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_II,NA,NA
OTU_18,0,557,2998,0,0,58,901,0,0,40,1160,0,0,0,25,0,0,1329,4782,0,0,3934,4340,0,0,1480,1071,0,0,814,7937,0,0,1548,6957,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,NA,NA
OTU_19,4525,3364,2120,0,3332,3058,0,0,8095,3560,231,0,2032,4399,1481,0,90,1545,123,0,267,1194,357,0,298,1609,1311,0,60,2428,0,0,76,622,185,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA
OTU_20,4341,2421,1124,0,1583,3919,0,0,4836,2967,281,0,1523,2488,1199,0,2102,1114,352,0,751,461,496,0,1926,961,1188,0,1835,6138,139,0,1044,710,373,20,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
OTU_21,1323,839,424,767,550,1858,1034,636,1729,839,1408,1195,252,246,602,641,656,1534,801,1140,198,1379,1184,856,286,989,136,922,145,289,660,678,168,202,195,731,10,Bacteria,Proteobacteria,DeltaProteobacteria,SAR324_clade(Marine_group_B),NA,NA,NA
OTU_22,41,856,3391,94,82,515,11244,136,138,316,4445,161,20,60,228,126,0,916,663,238,0,385,399,89,0,111,32,158,0,1588,2400,0,0,449,887,0,0,Bacteria,Chloroflexi,Thermoplasmata,Marine_Group_II,NA,NA,NA
OTU_23,78,422,1303,73,92,159,1206,32,108,99,2177,339,0,162,179,113,0,1153,3451,171,0,2253,4972,34,0,2351,3448,59,0,1281,3588,23,0,2948,9336,48,0,Bacteria,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,Alteromonas,NA
OTU_24,0,596,3112,0,0,104,905,0,0,0,1483,0,0,184,0,0,0,3052,1899,0,0,3349,2107,0,0,1424,1335,0,0,7039,2094,0,0,7411,3591,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA
OTU_25,2941,363,220,0,1615,3768,0,0,5088,2216,161,0,1037,1155,721,0,2440,176,47,0,325,80,64,0,3356,234,204,0,1605,609,27,0,1096,60,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
OTU_26,7208,839,451,0,743,3170,10,0,5851,3143,276,0,2411,2093,1459,0,1193,131,37,0,1896,85,51,0,1351,200,117,0,2127,313,19,0,1941,44,19,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_27,4023,338,137,0,1923,2345,0,0,5206,2271,146,0,1075,1131,1988,0,2580,174,0,0,902,33,27,0,553,82,58,6,1931,115,8,0,2380,33,16,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_28,2243,1810,598,0,1385,1775,0,0,5858,2779,243,0,743,1190,1687,0,1639,342,36,0,1528,134,73,8,730,337,295,0,2266,331,8,0,2478,64,54,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_30,3914,1870,747,0,2120,3066,0,0,4482,1729,192,0,1104,2080,837,0,1536,352,191,0,514,667,316,0,1864,509,312,0,1003,412,17,0,844,503,448,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
OTU_31,0,181,1111,0,0,0,951,0,0,0,739,0,0,0,0,0,0,3008,2372,0,0,575,499,0,0,589,765,0,0,7645,3522,0,0,6104,6353,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Actinomarinales,Clade_II,Prochlorococcus,NA
OTU_32,1273,861,996,0,753,1366,971,14,1641,794,933,17,414,716,558,0,53,1266,1290,27,0,2144,2069,23,25,1493,958,0,24,3080,1301,18,0,3102,3173,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
OTU_33,265,748,1421,0,0,25,164,0,156,128,678,0,99,194,261,0,0,3590,1867,0,0,1442,1662,0,0,1572,1897,0,0,8112,714,0,0,4274,6453,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Actinomarinales,Clade_II,Prochlorococcus,NA
OTU_34,0,0,0,1730,0,0,0,1571,0,0,73,2188,0,0,0,1588,0,0,0,1790,0,0,0,1787,0,0,0,1590,0,0,0,1521,0,0,0,1291,24,Bacteria,Proteobacteria,DeltaProteobacteria,SAR324_clade(Marine_group_B),NA,NA,NA
OTU_35,975,2840,1453,0,275,531,0,0,981,540,237,0,278,601,854,0,1614,1190,649,0,1191,3782,1836,14,729,2893,2099,0,1241,1383,22,0,1697,966,964,0,0,Archaea,Euryarchaeota,NA,NA,NA,NA,NA
OTU_36,937,2207,2421,0,0,0,0,0,0,0,556,0,439,658,898,0,60,2347,1168,0,0,2443,1395,0,11,1429,680,0,0,2115,258,0,0,2314,2628,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Parvibaculales,OCS116_clade,NA,NA
OTU_37,501,411,785,523,75,148,1413,530,575,306,957,543,248,271,585,362,428,1460,1038,646,701,1312,1056,749,264,962,368,697,271,1137,1405,744,319,1145,1360,428,8,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_38,0,220,843,701,0,0,3241,551,0,55,1283,1195,0,47,81,743,0,312,1189,1130,0,648,1418,534,0,296,134,798,0,111,2218,609,0,284,593,595,10,Bacteria,Proteobacteria,DeltaProteobacteria,SAR324_clade(Marine_group_B),NA,NA,NA
OTU_39,5494,2444,1595,0,1328,2578,0,0,2440,1086,273,0,1164,3038,562,0,695,223,122,0,219,410,309,0,618,580,706,0,475,529,0,0,927,155,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,NA
OTU_40,614,1145,1080,665,0,127,354,708,607,342,402,891,421,413,1373,497,1502,1453,556,344,2385,603,414,466,1128,1016,677,473,1445,1460,188,545,1719,717,696,316,5,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_41,1297,3608,2341,0,1681,1882,0,0,3276,1843,1212,0,336,634,502,0,13,807,651,0,0,829,663,0,0,613,475,0,0,1849,217,0,0,790,1361,0,0,Bacteria,Proteobacteria,GammaProteobacteria,HOC36,NA,NA,NA
OTU_42,0,0,0,1797,0,0,96,1783,0,0,0,2733,0,0,0,1383,0,0,0,1046,0,0,0,2564,0,0,0,1211,0,0,0,1244,0,0,0,1287,25,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,NA,NA,NA,NA
OTU_43,0,0,0,0,0,0,0,0,0,0,0,0,80,18,38,0,72,0,0,180,0,0,0,90,0,10,0,0,0,0,0,89,0,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
OTU_44,806,1708,620,0,888,956,0,0,3333,1906,261,0,873,1555,1211,0,510,1212,551,4,742,1414,686,0,1027,1836,1190,0,775,2636,46,0,628,1471,1166,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
OTU_45,8114,2240,1094,0,894,1070,0,0,1852,788,0,0,2274,4293,1530,0,1392,231,0,0,959,77,0,0,1139,133,107,0,1432,191,0,0,2247,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA
OTU_47,32,1009,2115,0,28,118,1048,0,68,143,1285,0,40,178,123,0,0,1781,1420,0,0,751,445,0,0,617,487,0,0,4878,1133,0,0,3839,4058,0,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_48,71,1468,1512,34,0,0,2458,11,0,30,747,64,61,151,147,20,0,1395,1198,50,0,1081,1339,0,0,1412,1721,17,0,3865,2081,0,0,4488,5618,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
OTU_49,0,285,1235,0,0,0,290,0,0,22,597,0,0,0,14,0,0,1512,1995,0,0,2170,2317,0,0,1768,1427,0,0,1475,3920,0,0,6496,7236,26,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,marinus
OTU_50,0,0,27,1395,0,0,186,1829,0,0,22,2209,0,0,0,1165,0,0,0,1105,0,0,0,1371,0,0,0,1115,0,0,58,1328,0,0,0,1056,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_51,0,0,44,1565,0,0,828,1355,0,0,56,2126,0,0,0,1454,0,0,0,1747,0,0,0,1751,0,0,0,1605,0,0,536,1149,0,0,0,1514,0,Bacteria,Proteobacteria,GammaProteobacteria,UBA10353_marine_group,NA,NA,NA
OTU_52,1068,1007,515,4,40,284,0,0,1296,563,92,0,502,466,1576,0,2125,389,109,3,5371,63,50,18,2658,450,379,6,3891,627,18,0,3890,97,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
OTU_53,1258,410,411,0,414,792,110,0,2209,862,365,0,504,444,1030,0,943,658,317,96,654,441,365,60,464,621,311,69,745,683,225,0,553,413,478,57,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_54,1838,355,122,2,542,959,0,0,1472,618,40,0,610,755,658,0,1764,100,46,0,2576,91,55,16,1580,166,129,0,1103,106,0,0,1945,44,0,11,0,Bacteria,Proteobacteria,AlphaProteobacteria,Puniceispirillales,SAR1186_clade,NA,NA
OTU_55,0,0,90,1011,0,37,1185,1361,0,0,388,1635,0,0,0,1055,0,0,75,1252,0,37,47,802,0,0,0,888,0,0,472,1018,0,23,58,760,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA
OTU_56,0,0,0,1207,0,0,0,1591,0,0,0,1611,0,0,0,903,0,0,0,1660,0,0,0,1201,0,0,0,1053,0,0,0,924,0,0,0,646,0,Archaea,Chloroflexi,Thermoplasmata,Marine_Group_III,NA,NA,NA
OTU_57,0,0,0,1092,0,0,386,1299,0,0,135,1734,0,0,0,803,0,0,0,892,0,0,0,1224,0,0,0,983,0,23,165,1149,0,0,0,1001,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_58,449,2220,1147,0,74,191,0,0,792,448,299,0,327,601,393,0,0,813,1450,0,0,831,637,0,18,1954,1954,0,0,1516,196,0,0,1593,826,0,0,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,NA
OTU_59,601,1324,635,0,615,685,0,0,2074,1328,213,0,885,1514,723,0,0,932,368,0,0,707,422,0,0,822,788,0,0,1786,35,0,0,1029,807,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
OTU_60,29,0,0,59,2522,1289,36,1201,5169,5110,738,1188,3312,1661,401,824,0,40,56,0,0,219,0,30,0,0,0,67,0,0,0,161,0,0,0,96,0,Bacteria,Proteobacteria,GammaProteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
OTU_61,744,444,462,0,201,294,55,0,939,512,415,0,303,273,615,0,970,1051,742,0,1086,980,948,0,437,1205,670,0,369,706,114,0,355,611,940,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_II,NA,NA
OTU_62,0,0,0,1237,0,0,0,958,0,0,0,1457,0,0,0,1013,0,0,0,1143,0,0,0,1535,0,0,0,1288,0,0,0,1104,0,0,0,874,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_63,0,0,0,937,0,0,168,1145,0,0,0,1618,0,0,0,960,0,0,0,671,0,0,0,1229,0,0,0,674,0,0,65,1025,0,0,0,1076,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_64,0,0,0,1122,0,0,267,1005,0,0,0,1412,0,0,0,1011,0,0,0,1040,0,0,0,1908,0,0,0,1151,0,0,158,1717,0,0,0,1104,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_65,0,0,0,1117,0,0,0,1407,0,0,0,1078,0,0,0,1053,0,0,0,1210,0,0,0,1056,0,0,0,721,0,0,0,964,0,0,0,1020,0,Archaea,Chloroflexi,Thermoplasmata,Marine_Group_III,NA,NA,NA
OTU_66,56,762,491,0,37,51,171,0,78,55,585,0,54,103,28,0,0,1237,919,0,0,2827,1604,0,0,1623,1164,0,0,3352,483,0,0,2565,1452,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
OTU_67,0,380,641,259,15,97,1577,202,0,72,1362,456,14,0,39,267,0,709,1263,430,0,736,1083,222,0,545,161,271,0,183,1013,191,0,346,465,244,0,Bacteria,Proteobacteria,DeltaProteobacteria,SAR324_clade(Marine_group_B),NA,NA,NA
OTU_68,563,757,213,3,262,381,0,0,881,441,99,0,534,912,830,0,932,516,125,0,1706,367,189,13,1299,533,389,0,907,1011,0,0,1725,353,167,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
OTU_69,0,0,0,714,0,0,4947,686,0,0,0,1214,0,0,0,703,0,0,0,882,0,0,0,623,0,0,0,522,0,0,1140,661,0,0,0,389,7,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_70,593,251,280,0,226,339,0,0,1271,641,95,0,293,212,423,0,735,736,269,0,1519,357,204,0,645,883,378,0,258,387,0,0,180,169,128,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_71,0,0,88,940,0,0,247,778,0,0,172,1191,0,0,0,792,0,75,180,956,0,0,0,981,0,79,0,867,0,0,201,774,0,60,0,638,3,Bacteria,Proteobacteria,DeltaProteobacteria,SAR324_clade(Marine_group_B),NA,NA,NA
