depth	pressure	temperature	conductivity	latitude	longitude	ECO-CDOM	ECO-Chl(a)	ECO-SCATT	Oxygen_mg/L	pH	salinity	Sound_Velocity_(calc)	time
1.04	1.046	29.5387	62.3017	19.61229	38.72119	0.18	0.06	0.000596	4.96	8.111	38.0527	1547.842	1
1.08	1.087	29.5365	62.3058	19.61229	38.72119	0.36	0.06	0.000583	4.96	8.112	38.0573	1547.843	2
1.34	1.351	29.5355	62.3012	19.61229	38.72119	0.36	0.07	0.000546	4.96	8.112	38.0549	1547.842	3
1.23	1.233	29.5262	62.2801	19.61229	38.72118	0.18	0.04	0.000447	4.96	8.112	38.0477	1547.813	4
1.09	1.096	29.5205	62.2755	19.61229	38.72118	0.63	0.05	0.000429	4.97	8.113	38.0491	1547.801	5
1.12	1.132	29.5294	62.2884	19.61229	38.72118	0.27	0.07	0.000504	4.97	8.114	38.0509	1547.822	6
1.12	1.126	29.5262	62.2943	19.61228	38.72118	0.18	0.04	0.000517	4.97	8.114	38.0575	1547.822	7
1.25	1.256	29.5249	62.2803	19.61228	38.72118	0.27	0.06	0.001222	4.97	8.114	38.0488	1547.813	8
1.26	1.271	29.528	62.2953	19.61228	38.72118	0.31	0.07	0.001145	4.98	8.115	38.0567	1547.827	9
1.06	1.065	29.5317	62.3014	19.61228	38.72118	0.45	0.08	0.000642	4.99	8.115	38.0581	1547.833	10
1.08	1.086	29.5366	62.3076	19.61228	38.72117	0.81	0.07	0.000583	4.99	8.116	38.0585	1547.844	11
1.27	1.276	29.5319	62.2956	19.61227	38.72117	0.63	0.09	0.000563	4.99	8.116	38.0539	1547.833	12
1.17	1.179	29.5292	62.2913	19.61227	38.72117	0.54	0.07	0.000533	4.98	8.116	38.0531	1547.824	13
1.14	1.151	29.5254	62.2787	19.61227	38.72117	0.09	0.05	0.000544	4.98	8.117	38.0474	1547.81	14
1.25	1.262	29.5168	62.2772	19.61227	38.72116	0.36	0.08	0.00053	4.98	8.117	38.0532	1547.8	15
1.1	1.107	29.5158	62.2742	19.61226	38.72116	-0.27	0.07	0.000533	4.98	8.117	38.0519	1547.794	16
1.12	1.125	29.513	62.2753	19.61226	38.72116	0.27	0.08	0.000623	4.99	8.118	38.0549	1547.792	17
1.24	1.244	29.5188	62.3015	19.61226	38.72116	0	0.07	0.000513	4.99	8.118	38.0684	1547.82	18
1.19	1.201	29.5367	62.2917	19.61226	38.72116	0.99	0.05	0.000485	4.99	8.118	38.0474	1547.835	19
1.22	1.224	29.535	62.3137	19.61226	38.72115	0.5	0.06	0.00051	5	8.119	38.0639	1547.849	20
1.12	1.13	29.545	62.3109	19.61225	38.72115	0.27	0.09	0.000594	4.99	8.119	38.0541	1547.858	21
0.98	0.989	29.5431	62.3133	19.61225	38.72115	0.54	0.05	0.000526	4.99	8.12	38.0573	1547.855	22
1.28	1.283	29.5411	62.3135	19.61225	38.72115	0.27	0.08	0.000503	4.99	8.12	38.0589	1547.857	23
1.2	1.212	29.54	62.3349	19.61225	38.72115	0.18	0.09	0.000535	4.99	8.12	38.0746	1547.87	24
0.96	0.969	29.5515	62.3296	19.61224	38.72114	0.27	0.07	0.000482	4.98	8.121	38.062	1547.877	25
1.13	1.138	29.5485	62.3253	19.61224	38.72114	0.36	0.05	0.00051	4.98	8.121	38.0613	1547.873	26
1.05	1.053	29.5494	62.3259	19.61224	38.72113	0.45	0.06	0.00049	4.98	8.121	38.061	1547.873	27
0.98	0.987	29.5527	62.3232	19.61223	38.72113	0.5	0.07	0.000528	4.97	8.121	38.0565	1547.874	28
0.98	0.987	29.5516	62.3266	19.61223	38.72113	-0.54	0.06	0.000542	4.97	8.122	38.0597	1547.875	29
0.97	0.974	29.5512	62.3155	19.61223	38.72112	0.27	0.07	0.00056	4.97	8.122	38.0524	1547.866	30
0.95	0.952	29.5483	62.3189	19.61222	38.72112	0.45	0.06	0.000633	4.96	8.122	38.057	1547.865	31
0.88	0.882	29.5438	62.3183	19.61222	38.72112	0	0.06	0.000572	4.96	8.123	38.0602	1547.858	32
0.96	0.963	29.5471	62.3273	19.61222	38.72112	0.43	0.07	0.000951	4.97	8.123	38.0638	1547.87	33
1.15	1.158	29.5514	62.3228	19.61222	38.72111	0.81	0.08	0.001238	4.98	8.123	38.0573	1547.875	34
