Station	Latitude	Longitude
TARA_001	44.415	-9.833
TARA_002	39.038	-10.79
TARA_003	36.672	-10.421
TARA_004	36.563	-6.553
TARA_005	36.03	-4.405
TARA_006	36.529	-4.251
TARA_007	37.031	1.948
TARA_008	38.011	3.966
TARA_009	39.112	5.819
TARA_010	40.668	2.865
TARA_011	41.666	2.798
TARA_012	43.348	7.899
TARA_013	37.987	8.068
TARA_014	39.902	12.858
TARA_015	38.933	14.53
TARA_016	37.398	15.454
TARA_017	36.258	14.306
TARA_018	35.756	14.287
TARA_019	34.215	13.865
TARA_020	34.451	14.973
TARA_021	37.511	17.285
TARA_022	39.729	17.4
TARA_023	42.176	17.729
TARA_024	42.457	17.956
TARA_025	39.333	19.421
TARA_026	38.431	20.188
TARA_027	34.094	32.934
TARA_028	34.279	32.985
TARA_029	33.928	35.342
TARA_030	33.929	32.789
TARA_031	27.151	34.819
TARA_032	23.391	37.254
TARA_033	22.057	38.218
TARA_034	18.445	39.884
TARA_036	20.824	63.525
TARA_037	20.828	63.6
TARA_038	19.017	64.576
TARA_039	18.647	66.463
TARA_040	17.5	67.984
TARA_041	14.582	70.011
TARA_042	5.992	73.919
TARA_043	4.66	73.489
TARA_044	2.806	71.52
TARA_045	0.941	71.71
TARA_046	-0.659	73.162
TARA_047	-2.042	72.164
TARA_048	-9.409	66.32
TARA_049	-16.808	59.504
TARA_050	-21.476	56.795
TARA_051	-21.476	54.283
TARA_052	-17.023	53.508
TARA_053	-13.07	46.923
TARA_054	-12.813	45.226
TARA_055	-14.219	43.985
TARA_056	-15.332	43.29
TARA_057	-17.026	42.742
TARA_058	-17.455	42.32
TARA_059	-19.063	40.803
TARA_060	-20.233	40.09
TARA_061	-21.366	39.547
TARA_062	-22.339	40.182
TARA_063	-24.482	38.688
TARA_064	-29.508	37.929
TARA_065	-35.226	26.334
TARA_066	-34.905	18.016
TARA_067	-32.292	17.206
TARA_068	-31.039	4.62
TARA_069	-24.125	2.609
TARA_070	-20.229	-3.413
TARA_071	-9.213	-9.728
TARA_072	-8.691	-18.006
TARA_073	-12.504	-24.434
TARA_074	-16.036	-28.957
TARA_075	-18	-32.718
TARA_076	-21.029	-35.231
TARA_077	-24.577	-43.84
TARA_078	-30.158	-43.323
TARA_079a	-34.458	-47.66
TARA_079b	-35.502	-55.163
TARA_080	-40.699	-51.952
TARA_081	-44.497	-52.214
TARA_082	-47.165	-58.012
TARA_083	-54.418	-65.023
TARA_084	-60.395	-60.471
TARA_085	-62.176	-49.503
TARA_086	-64.309	-53.057
TARA_087	-63.853	-56.137
TARA_088	-63.386	-56.806
TARA_089	-57.764	-67.419
TARA_090	-39.587	-76.99
TARA_091	-34.174	-73.085
TARA_092	-33.697	-71.977
TARA_093	-33.762	-72.615
TARA_094	-32.765	-87.093
TARA_095	-31.386	-93.986
TARA_096	-29.655	-101.268
TARA_097	-28.169	-107.668
TARA_098	-26.261	-110.992
TARA_099	-21.141	-104.852
TARA_100	-13.162	-96.283
TARA_101	-8.627	-89.485
TARA_102	-5.218	-85.27
TARA_103	-1.498	-84.584
TARA_104	-0.991	-84.592
TARA_105	-0.491	-84.588
TARA_106	0.037	-84.62
TARA_107	0.488	-84.581
TARA_108	1.013	-84.583
TARA_109	1.8	-84.545
TARA_110	-1.913	-84.616
TARA_111	-16.932	-100.662
TARA_112	-23.22	-129.578
TARA_113	-23.114	-134.92
TARA_114	-23.13	-134.912
TARA_115	-23.216	-134.931
TARA_116	-23.217	-134.931
TARA_117	-23.129	-135.016
TARA_118	-23.129	-135.009
TARA_119	-23.012	-134.912
TARA_120	-23.012	-134.912
TARA_121	-23.05	-134.959
TARA_122	-8.969	-139.338
TARA_123	-8.879	-140.304
TARA_124	-8.999	-140.588
TARA_125	-8.89	-142.61
TARA_126	-11.975	-151.208
TARA_127	-6.62	-152.568
TARA_128	-0.469	-153.305
TARA_129	6.732	-153.089
TARA_130	11.265	-152.462
TARA_131	22.747	-158.052
TARA_132	31.506	-159.014
TARA_133	35.343	-127.75
TARA_134	32.667	-121.986
TARA_135	32.983	-121.832
TARA_136	17.022	-118.914
TARA_137	14.161	-116.699
TARA_138	6.215	-103.017
TARA_139	6.491	-95.449
TARA_140	7.471	-79.312
TARA_141	9.834	-80.086
TARA_142	25.602	-88.417
TARA_143	29.885	-79.682
TARA_144	36.369	-72.815
TARA_145	39.163	-70.076
TARA_146	34.731	-71.248
TARA_147	32.954	-66.533
TARA_148	31.782	-64.145
TARA_148b	34.027	-56.876
TARA_149	34.098	-49.84
TARA_150	35.8	-37.102
TARA_151	36.194	-28.801
TARA_152	43.668	-16.662
TARA_153	44.034	-16.564
TARA_154	44.354	-10.094
TARA_155	54.597	-16.755
TARA_156	60.923	-7.879
TARA_157	65.676	-1.759
TARA_158	67.193	0.374
TARA_159	68.994	2.157
TARA_160	70.373	3.678
TARA_161	72.375	3.935
TARA_162	74.247	3.908
TARA_163	76.078	1.689
